age,annual_income,months_employed,employment_type,home_ownership,loan_amount,account_balance,defaulted
46.0,19585.0,122.0,salaried,mortgage,7772.0,4304.0,1
38.0,30647.0,42.0,self_employed,mortgage,3220.0,,1
48.0,40230.0,75.0,unemployed,own,16818.0,2008.0,1
58.0,40992.0,45.0,self_employed,own,22818.0,9676.0,1
37.0,32777.0,46.0,self_employed,mortgage,13317.0,1344.0,1
37.0,53119.0,53.0,unemployed,rent,28517.0,8940.0,0
59.0,24824.0,82.0,salaried,rent,11468.0,10818.0,0
49.0,37644.0,44.0,salaried,rent,6034.0,1747.0,1
34.0,42367.0,139.0,self_employed,mortgage,23354.0,4874.0,1
47.0,50589.0,21.0,salaried,mortgage,6740.0,15229.0,0
34.0,55283.0,60.0,self_employed,mortgage,20288.0,10963.0,0
34.0,24195.0,46.0,unemployed,rent,4139.0,361.0,1
43.0,20124.0,150.0,salaried,own,2130.0,940.0,0
18.0,71322.0,81.0,salaried,mortgage,22182.0,0.0,0
19.0,46609.0,127.0,self_employed,rent,11537.0,8794.0,0
33.0,28658.0,0.0,salaried,mortgage,9830.0,2469.0,0
28.0,80662.0,85.0,self_employed,mortgage,31345.0,2263.0,0
44.0,42279.0,119.0,salaried,mortgage,5153.0,15037.0,0
29.0,68233.0,75.0,self_employed,own,11020.0,,0
23.0,41373.0,129.0,salaried,mortgage,15694.0,4629.0,1
58.0,101452.0,42.0,self_employed,mortgage,27553.0,14678.0,0
37.0,88424.0,148.0,salaried,own,41081.0,17469.0,0
41.0,35881.0,196.0,salaried,own,15291.0,2401.0,1
23.0,62144.0,50.0,salaried,rent,32489.0,5801.0,0
33.0,53660.0,45.0,self_employed,own,23946.0,14132.0,1
41.0,74301.0,150.0,unemployed,mortgage,23402.0,12182.0,0
26.0,25998.0,157.0,salaried,own,11348.0,,0
45.0,54651.0,41.0,salaried,rent,12990.0,,0
33.0,64621.0,47.0,salaried,own,16359.0,0.0,0
36.0,18189.0,55.0,self_employed,mortgage,8994.0,0.0,0
33.0,23565.0,0.0,self_employed,rent,7616.0,9048.0,0
62.0,16032.0,19.0,salaried,rent,8003.0,3495.0,1
40.0,35553.0,15.0,salaried,own,18175.0,,0
27.0,55431.0,28.0,salaried,rent,29311.0,11384.0,1
50.0,78910.0,68.0,salaried,mortgage,44057.0,24192.0,0
25.0,41496.0,83.0,salaried,mortgage,13092.0,,0
43.0,83523.0,155.0,unemployed,own,21669.0,22491.0,0
18.0,21568.0,15.0,salaried,own,8435.0,1056.0,1
24.0,18648.0,124.0,self_employed,rent,5326.0,5123.0,0
42.0,39144.0,58.0,salaried,mortgage,15679.0,2968.0,0
49.0,47707.0,67.0,salaried,mortgage,21601.0,13789.0,0
42.0,39549.0,107.0,self_employed,rent,17568.0,7365.0,0
39.0,15830.0,8.0,self_employed,rent,4548.0,2920.0,1
